"Reference","Value","Datasheet","Footprint","Qty","DNP"
"5V1,GND1","Conn_01x05_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","2",""
"C1,C3","0.1uf","~","Capacitor_SMD:C_0402_1005Metric","2",""
"C2,C4","33pf","~","Capacitor_SMD:C_0402_1005Metric","2",""
"J2","Outputs","~","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","1",""
"R1,R2","1K","~","Resistor_SMD:R_0402_1005Metric","2",""
"R3,R4,R5,R7,R10,R11,RV1,RV2","100K","~","-- mixed values --","8",""
"R6,R8","10K","~","Resistor_SMD:R_0402_1005Metric","2",""
"R9","51K","~","Resistor_SMD:R_0402_1005Metric","1",""
"U1,U2,U3","LM358","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","3",""
"U4","~","","Footprints:Audio_Socket_TRS_3.5mm","1",""
